			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Полет	Полет	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Полет}

Позволяет вашей армии использовать часть движения для того, чтобы перелетать через препятствия. В конце каждого хода необходимо приземляться.
"	"{Основной Полет}

Позволяет вашей армии использовать часть движения для того, чтобы перелетать через препятствия. В конце каждого хода необходимо приземляться.
"	"{Продвинутый Полет}

Позволяет вашей армии использовать большую часть движения для того, чтобы перелетать через препятствия. В конце каждого хода необходимо приземляться.
"	"{Полет Эксперта}

Позволяет вашей армии использовать все своё движение для того, чтобы перелетать через препятствия. В конце каждого хода необходимо приземляться.
"	 ADV_SPELL
Хождение по воде	Хождение по воде	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Хождение по Воде}

Позволяет вашей армии использовать часть движения для того, чтобы переходить через водные преграды. Движение следует заканчивать на суше.
"	"{Основное Хождение по воде}

Позволяет вашей армии использовать часть движения для того, чтобы переходить через водные преграды. Движение следует заканчивать на суше.
"	"{Продвинутое Хождение по воде}

Позволяет вашей армии использовать большую часть движения для того, чтобы переходить через водные преграды. Движение следует заканчивать на суше.
"	"{Хождение по воде Эксперта)}

Позволяет вашей армии использовать все своё движение для того, чтобы переходить через водные преграды. Движение следует заканчивать на суше.
"	 ADV_SPELL
Дверь измерений	Дверь измерений	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Дверь измерений}

Один раз в день можно телепортировать героя в видимое незанятое место на карте приключений.
"	"{Основная Дверь измерений}

Два раза в день можно телепортировать героя в видимое незанятое место на карте приключений.
"	"{Продвинутая Дверь измерений}

Три раза в день можно телепортировать героя в видимое незанятое место на карте приключений.
"	"{Дверь измерений Эксперта}

Четыре раза в день можно телепортировать героя в видимое незанятое место на карте приключений.
"	 ADV_SPELL
Городской портал	Городской портал	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Городской портал}

Телепортирует героя в ближайший дружественный город. Город должен быть не занят.
"	"{Основной Городской портал}

Телепортирует героя в ближайший дружественный город. Город должен быть не занят.
"	"{Продвинутый Городской портал}

Телепортирует героя в любой дружественный город. Город должен быть не занят.
"	"{Городской портал Эксперта}

Телепортирует героя в любой дружественный город. Город должен быть не занят.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
Зыбучие пески	Зыбучие пески	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Зыбучие пески}

Случайным образом размещает на поле боя четыре небольших участка зыбучего песка, видимых только творящему и существам, принадлежащим к этой территории. Попадание в зыбучий песок оканчивает движение подразделения на данный ход и делает его видимым для всех.
"	"{Основные Зыбучие пески}

Случайным образом размещает на поле боя четыре небольших участка зыбучего песка, видимых только творящему и существам, принадлежащим к этой территории. Попадание в зыбучий песок оканчивает движение подразделения на данный ход и делает его видимым для всех.
"	"{Продвинутые Зыбучие пески}

Случайным образом размещает на поле боя шесть небольших участков зыбучего песка, видимых только творящему и существам, принадлежащим к этой территории. Попадание в зыбучий песок оканчивает движение подразделения на данный ход и делает его видимым для всех.
"	"{Зыбучие пески Эксперта}

Случайным образом размещает на поле боя восемь небольших участков зыбучего песка, видимых только творящему и существам, принадлежащим к этой территории. Попадание в зыбучий песок оканчивает движение подразделения на данный ход и делает его видимым для всех.
"	 COMBAT_SPELL|LOCATION_TARGET
Минное поле	Минное поле	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Минное поле}

Случайным образом размещает на поле боя четыре небольших минных поля, видимых только творящему и существам, принадлежащим к этой территории. Они наносят ущерб любому подразделению, проходящему через них."	"{Основное Минное поле}

Случайным образом размещает на поле боя четыре небольших минных поля, видимых только творящему и существам, принадлежащим к этой территории. Они наносят ущерб любому подразделению, проходящему через них."	"{Продвинутое Минное поле}

Случайным образом размещает на поле боя шесть небольших минных полей, видимых только творящему и существам, принадлежащим к этой территории. Они наносят ущерб любому подразделению, проходящему через них.

Наносимый ущерб на 25 баллов больше, чем для Основного Минного Поля.
"	"{Минное поле Эксперта}

Случайным образом размещает на поле боя восемь небольших минных полей, видимых только творящему и существам, принадлежащим к этой территории. Они наносят ущерб любому подразделению, проходящему через них.

Наносимый ущерб на 75 баллов больше, чем для Основного Минного Поля.
"	 COMBAT_SPELL|LOCATION_TARGET
Силовое поле	Силовое поле	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Силовое поле}

Размещает на поле боя небольшое силовое поле в пункте, указанном творящим.
"	"{Основное Силовое поле}

Размещает на поле боя небольшое силовое поле в пункте, указанном творящим.
"	"{Продвинутое Силовое поле}

Размещает на поле боя силовое поле среднего размера в пункте, указанном творящим.
"	"{Силовое поле Эксперта}

Размещает на поле боя силовое поле среднего размера в пункте, указанном творящим.
"	 COMBAT_SPELL|LOCATION_TARGET
Стена огня	Стена огня	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Стена огня}

Размещает на поле боя небольшой фрагмент огня в пункте, указанном творящим. Все подразделения, проходящие через огонь, получают повреждения.
"	"{Основная Стена огня}

Размещает на поле боя небольшой фрагмент огня в пункте, указанном творящим. Все подразделения, проходящие через огонь, получают повреждения.
"	"{Продвинутая Стена огня}

Размещает на поле боя фрагмент огня среднего размера в пункте, указанном творящим. Все подразделения, проходящие через огонь, получают повреждения.
"	"{Стена огня Эксперта}

Размещает на поле боя фрагмент огня среднего размера в пункте, указанном творящим. Все подразделения, проходящие через огонь, получают повреждения.
"	 COMBAT_SPELL|LOCATION_TARGET
Землетрясение	Землетрясение	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Землетрясение}

Случайным образом повреждает два фрагмента стены замка в бою.
"	"{Основное Землетрясение}

Случайным образом повреждает два фрагмента стены замка в бою.
"	"{Продвинутое Землетрясение}

Случайным образом повреждает три фрагмента стены замка в бою.
"	"{Землетрясение Эксперта}

Случайным образом повреждает четыре фрагмента стены замка в бою.
"	 COMBAT_SPELL
Волшебная стрела	Волшебная стрела	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Волшебная стрела}

Вызывает стрелу из магической энергии, поражающую выбранное подразделение.
"	"{Основная Волшебная стрела}

Вызывает стрелу из магической энергии, поражающую выбранное подразделение.
"	"{Продвинутая Волшебная стрела}

Вызывает стрелу из магической энергии, поражающую выбранное подразделение.

Наносимый ущерб на 10 баллов больше, чем для Основной Волшебной стрелы.
"	"{Волшебная стрела Эксперта}

Вызывает стрелу из магической энергии, поражающую выбранное подразделение.

Наносимый ущерб на 20 баллов больше, чем для Основной Волшебной стрелы.
"	 COMBAT_SPELL|CREATURE_TARGET
Ледяная молния	Ледяная молния	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{Ледяная молния}

Вытягивает тепло тел из выбранного вражеского подразделения.
"	"{Основная Ледяная молния}

Вытягивает тепло тел из выбранного вражеского подразделения.
"	"{Продвинутая Ледяная молния}

Вытягивает тепло тел из выбранного вражеского подразделения.

Наносимый ущерб на 10 баллов больше, чем для Основной Ледяной молнии.
"	"{Ледяная молния Эксперта}

Вытягивает тепло тел из выбранного вражеского подразделения.

Наносимый ущерб на 40 баллов больше, чем для Основной Ледяной молнии.
"	 COMBAT_SPELL|CREATURE_TARGET
Удар молнии	Удар молнии	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Удар молнии}

Вызывает удар молнии в выбранное подразделение.
"	"{Основной Удар молнии}

Вызывает удар молнии в выбранное подразделение.
"	"{Продвинутый Удар молнии}

Вызывает удар молнии в выбранное подразделение.

Наносимый ущерб на 10 баллов больше, чем для Основного Удара молнии.
"	"{Удар молнии Эксперта}

Вызывает удар молнии в выбранное подразделение.

Наносимый ущерб на 40 баллов больше, чем для Основного Удара молнии.
"	 COMBAT_SPELL|CREATURE_TARGET
Взрыв	Взрыв	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Взрыв}

Наносит массовое повреждение отдельной группе существ.
"	"{Основной Взрыв}

Наносит массовое повреждение отдельной группе существ.
"	"{Продвинутый Взрыв}

Наносит массовое повреждение отдельной группе существ.

Наносимый ущерб на 100 баллов больше, чем для Основного Взрыва.
"	"{Взрыв Эксперта}

Наносит массовое повреждение отдельной группе существ.

Наносимый ущерб на 200 баллов больше, чем для Основного Взрыва.
"	 COMBAT_SPELL|CREATURE_TARGET
Цепная молния	Цепная молния	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Цепная молния}

Вызывает удар молнии в выбранное подразделение, от которого молния переходит в ближайшее к нему подразделение, нанося половинный ущерб, снова переходя к ближайшему подразделению, опять нанося половинный ущерб, и т.д. Поражает четыре подразделения.
"	"{Основная Цепная молния}

Вызывает удар молнии в выбранное подразделение, от которого молния переходит в ближайшее к нему подразделение, нанося половинный ущерб, снова переходя к ближайшему подразделению, опять нанося половинный ущерб, и т.д. Поражает четыре подразделения.
"	"{Продвинутая Цепная молния}

Вызывает удар молнии в выбранное подразделение, от которого молния переходит в ближайшее к нему подразделение, нанося половинный ущерб, снова переходя к ближайшему подразделению, опять нанося половинный ущерб, и т.д. Поражает пять подразделений.

Базовый наносимый ущерб на 25 баллов больше, чем для Основной Цепной молнии.
"	"{Цепная молния Эксперт}

Вызывает удар молнии в выбранное подразделение, от которого молния переходит в ближайшее к нему подразделение, нанося половинный ущерб, снова переходя к ближайшему подразделению, опять нанося половинный ущерб, и т.д. Поражает пять подразделений.

Базовый наносимый ущерб на 75 баллов больше, чем для Основной Цепной молнии.
"	 COMBAT_SPELL|CREATURE_TARGET
Кольцо холода	Кольцо холода	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Кольцо холода}

Вытягивает тепло тел из любых подразделений, находящихся рядом с целью, при этом не нанося ущерба цели.
"	"{Основное Кольцо холода}

Вытягивает тепло тел из любых подразделений, находящихся рядом с целью, при этом не нанося ущерба цели.
"	"{Продвинутое Кольцо холода}

Вытягивает тепло тел из любых подразделений, находящихся рядом с целью, при этом не нанося ущерба цели.

Наносимый ущерб на 15 баллов больше, чем для Основного Кольца холода.
"	"{Кольцо холода Эксперт}

Вытягивает тепло тел из любых подразделений, находящихся рядом с целью, при этом не нанося ущерба цели.

Наносимый ущерб на 45 баллов больше, чем для Основного Кольца холода.
"	 COMBAT_SPELL|LOCATION_TARGET
Огненный шар	Огненный шар	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Огненный шар}

Погребает выбранную цель в огне, нанося огненное повреждение цели и любым находящимся рядом с ней подразделениям.
"	"{Основной Огненный шар}

Погребает выбранную цель в огне, нанося огненное повреждение цели и любым находящимся рядом с ней подразделениям.
"	"{Продвинутый Огненный шар}

Погребает выбранную цель в огне, нанося огненное повреждение цели и любым находящимся рядом с ней подразделениям.

Наносимый ущерб на 15 баллов больше, чем для Основного Огненного шара
"	"{Огненный шар Эксперта}

Погребает выбранную цель в огне, нанося огненное повреждение цели и любым находящимся рядом с ней подразделениям.

Наносимый ущерб на 45 баллов больше, чем для Основного Огненного шара
"	 COMBAT_SPELL|LOCATION_TARGET
Инферно	Инферно	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Инферно}

Поражает выбранную цель огромной вспышкой огня. Держитесь подальше!
"	"{Основной Инферно}

Поражает выбранную цель огромной вспышкой огня. Держитесь подальше!
"	"{Продвинутый Инферно}

Поражает выбранную цель огромной вспышкой огня. Держитесь подальше!

Наносимый ущерб на 20 баллов больше, чем для Основного Инферно.
"	"{Инферно Эксперта}

Поражает выбранную цель огромной вспышкой огня. Держитесь подальше!

Наносимый ущерб на 60 баллов больше, чем для Основного Инферно.
"	 COMBAT_SPELL|LOCATION_TARGET
Метеоритный дождь	Метеоритный дождь	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Метеоритный дождь}

Вызывает падение потока метеоритов на выбранную цель и находящиеся рядом с ней подразделения.
"	"{Основной Метеоритный дождь}

Вызывает падение потока метеоритов на выбранную цель и находящиеся рядом с ней подразделения.
"	"{Продвинутый Метеоритный дождь}

Вызывает падение потока метеоритов на выбранную цель и находящиеся рядом с ней подразделения.

Наносимый ущерб на 25 пунктов больше, чем для Основного Метеоритного дождя.
"	"{Метеоритный дождь Эксперта}

Вызывает падение потока метеоритов на выбранную цель и находящиеся рядом с ней подразделения.

Наносимый ущерб на 75 пунктов больше, чем для Основного Метеоритного дождя.
"	 COMBAT_SPELL|LOCATION_TARGET
Волна смерти	Волна смерти	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Волна смерти}

Посылает на поле битвы волну смерти, которая поражает все подразделения, не относящиеся к живым мертвецам.
"	"{Основная Волна смерти}

Посылает на поле битвы волну смерти, которая поражает все подразделения, не относящиеся к живым мертвецам.
"	"{Продвинутая Волна смерти}

Посылает на поле битвы волну смерти, которая поражает все подразделения, не относящиеся к живым мертвецам.

Наносимый ущерб на 10 баллов больше, чем для Основной Волны смерти.
"	"{Волна смерти Эксперта}

Посылает на поле битвы волну смерти, которая поражает все подразделения, не относящиеся к живым мертвецам.

Наносимый ущерб на 20 баллов больше, чем для Основной Волны смерти.
"	 COMBAT_SPELL
Уничтожение нечисти	Уничтожение нечисти	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Уничтожение нечисти}

Пытается уничтожить всю Нечисть на поле битвы.
"	"{Основное Уничтожение нечисти}

Пытается уничтожить всю Нечисть на поле битвы.
"	"{Продвинутое Уничтожение нечисти}

Пытается уничтожить всю Нечисть на поле битвы.

Наносимый ущерб на 10 баллов больше, чем для Основного Уничтожения нечисти.
"	"{Уничтожение нечисти Эксперта}

Пытается уничтожить всю Нечисть на поле битвы.

Наносимый ущерб на 40 баллов больше, чем для Основного Уничтожения нечисти.
"	 COMBAT_SPELL
Армагеддон	Армагеддон	4	 	 	x	 	24	20	20	20	50	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Армагеддон}

Вызывает на поле битвы огненный дождь, поражающий все подразделения.
"	"{Основной Армагеддон}

Вызывает на поле битвы огненный дождь, поражающий все подразделения.
"	"{Продвинутый Армагеддон}

Вызывает на поле битвы огненный дождь, поражающий все подразделения.

Наносимый ущерб на 30 баллов больше, чем для Основного Армагеддона.
"	"{Армагеддон Эксперта}

Вызывает на поле битвы огненный дождь, поражающий все подразделения.

Наносимый ущерб на 90 баллов больше, чем для Основного Армагеддона.
"	 COMBAT_SPELL
Щит	Щит	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Щит}

Защищает выбранное подразделение, снижая степень повреждений, получаемых при прямых атаках.
"	"{Основной Щит}

Защищает выбранное подразделение, снижая степень повреждений, получаемых при прямых атаках.
"	"{Продвинутый Щит}

Защищает выбранное подразделение, снижая степень повреждений, получаемых при прямых атаках.

Защита вдвое больше, чем для Основного Щита.
"	"{Щит Эксперта}

Защищает все выбранные подразделения, снижая степень повреждений, получаемых при прямых атаках.

Защита вдвое больше, чем для Основного Щита.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Воздушный щит	Воздушный щит	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Воздушный щит}

Защищает выбранное подразделение, снижая степень повреждений, получаемых при атаках на расстоянии.
"	"{Основной Воздушный щит}

Защищает выбранное подразделение, снижая степень повреждений, получаемых при атаках на расстоянии.
"	"{Продвинутый Воздушный щит}

Защищает выбранное подразделение, снижая степень повреждений, получаемых при атаках на расстоянии.

Защита вдвое больше, чем для Основного Воздушного щита.
"	"{Воздушный щит Эксперта}

Защищает все дружественные подразделения, снижая степень повреждений, получаемых при атаках на расстоянии.

Защита вдвое больше, чем для Основного Воздушного щита.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Огненный щит	Огненный щит	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Огненный щит}

Сотворённое на дружественном подразделении, не создаёт дополнительной защиты, однако враг, атакующий через огненный щит, получит повреждение, равное части нанесённого им.
"	"{Основной Огненный щит}

Сотворённое на дружественном подразделении, не создаёт дополнительной защиты, однако враг, атакующий через огненный щит, получит повреждение, равное части нанесённого им.
"	"{Продвинутый Огненный щит}

Сотворённое на дружественном подразделении, не создаёт дополнительной защиты, однако враг, атакующий через огненный щит, получит повреждение, равное части нанесённого им.

Повреждение атакующего вражеского подразделения на 5% больше, чем для Основного Огненного щита.
"	"{Огненный щит Эксперта}

Сотворённое на дружественном подразделении, не создаёт дополнительной защиты, однако враг, атакующий через огненный щит, получит повреждение, равное части нанесённого им.

Повреждение атакующего вражеского подразделения на 10% больше, чем для Основного Огненного щита.
"	 COMBAT_SPELL|CREATURE_TARGET
Защита от воздуха	Защита от воздуха	2		 	 	x	7	5	5	5	0	70	70	50	50	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Защита от воздуха}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Воздуха.
"	"{Основная Защита от воздуха}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Воздуха.
"	"{Продвинутая Защита от воздуха}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Воздуха.

Защита примерно в два раза сильнее, чем для Основной Защиты от воздуха.
"	"{Защита от Воздуха Эксперта}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Воздуха.

Защита примерно в два раза сильнее, чем для Основной Защиты от воздуха.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Защита от огня	Защита от огня	1	 		x	 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Защита от огня}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Огня.
"	"{Основная Защита от огня}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Огня.
"	"{Продвинутая Защита от огня}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Огня.

Защита примерно в два раза сильнее, чем для Основной Защиты от огня.
"	"{Защита от огня Эксперта}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Огня.

Защита примерно в два раза сильнее, чем для Основной Защиты от огня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
от воды	Защита от воды	1	 	x		 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Защита от воды}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Воды.
"	"{Основная Защита от воды}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Воды.
"	"{Продвинутая Защита от воды}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Воды.

Защита примерно в два раза сильнее, чем для Основной Защиты от воды.
"	"{Защита от воды Эксперта}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Воды.

Защита примерно в два раза сильнее, чем для Основной Защиты от воды.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Защита от земли	Защита от земли	3	x	 	 		12	9	9	9	0	70	70	50	50	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Защита от земли}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Земли.
"	"{Основная Защита от земли}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Земли.
"	"{Продвинутая Защита от земли}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Земли.

Защита примерно в два раза сильнее, чем для Основной Защиты от земли.
"	"{Защита от земли Эксперта}

Защищает выбранное подразделение, снижая повреждение, получаемое от заклинаний Магии Земли.

Защита примерно в два раза сильнее, чем для Основной Защиты от земли.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Анти-магия	Анти-магия	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Анти-магия}

Защищает выбранное подразделение от всех низкоуровневых заклинаний.
"	"{Основная Анти-магия}

Защищает выбранное подразделение от всех низкоуровневых заклинаний.
"	"{Продвинутая Анти-магия}

Защищает выбранное подразделение от всех заклинаний, кроме самых мощных.
"	"{Анти-магия Эксперта}

Защищает выбранное подразделение от всех заклинаний.
"	 COMBAT_SPELL|CREATURE_TARGET
Снятие заклинаний	Снятие заклинаний	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Снятие заклинаний}

Снимает все эффекты заклинаний с дружественного существа.
"	"{Основное Снятие заклинаний}

Снимает все эффекты заклинаний с дружественного существа.
"	"{Продвинутое Снятие заклинаний}

Снимает все эффекты заклинаний с дружественного или враждебного существа.
"	"{Снятие заклинаний Эксперта}

Снимает все эффекты заклинаний со всех подразделений на поле битвы.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Волшебное зеркало	Волшебное зеркало	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Волшебное зеркало}

Отражает вражеские заклинания на случайно выбранное вражеское существо в 20% случаев.
"	"{Основное Волшебное зеркало}

Отражает вражеские заклинания на случайно выбранное вражеское существо в 20% случаев.
"	"{Продвинутое Волшебное зеркало}

Отражает вражеские заклинания на случайно выбранное вражеское существо в 30% случаев.
"	"{Волшебное зеркало Эксперта}

Отражает вражеские заклинания на случайно выбранное вражеское существо в 40% случаев.
"	 COMBAT_SPELL|CREATURE_TARGET
Лечение	Лечение	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Лечение}

Снимает все отрицательные эффекты заклинаний и восстанавливает несколько баллов повреждения для выбранного подразделения.
"	"{Основное Лечение}

Снимает все отрицательные эффекты заклинаний и восстанавливает несколько баллов повреждения для выбранного подразделения.
"	"{Продвинутое Лечение}

Снимает все отрицательные эффекты заклинаний и восстанавливает несколько баллов повреждения для выбранного подразделения.

Излечиваемое повреждение на 10 баллов больше, чем для Основного Лечения.
"	"{Лечение Эксперта}

Снимает все отрицательные эффекты заклинаний и восстанавливает несколько баллов повреждения для выбранного подразделения.

Излечиваемое повреждение на 20 баллов больше, чем для Основного Лечения.
"	 COMBAT_SPELL|CREATURE_TARGET_1
