Name		Cost															Damage				Adv. Map			
Singular	Plural	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Fight Value	AI Value	Growth	Horde Growth	Hit Points	Speed	Attack	Defense	Low	High	Shots	Spells	Low	High	Ability Text	Attributes (Reference only, do not change these values)
Каменный Голем	Каменные Големы	0	0	0	0	0	0	150	339	250	6	0	30	3	7	10	4	5	0	0	12	25	Повреждение от магии уменьшаются на 50%.	0
Железный Голем	Железные Големы	0	0	0	0	0	0	200	412	412	6	0	35	5	9	10	4	5	0	0	12	20	Повреждения от магии уменьшаются на 70%.	0
Маг	Маги	0	0	0	0	0	0	350	418	570	4	0	25	5	11	8	7	9	24	0	10	20	Не имеет штрафа при рукопашной, снижает стоимость применения магии.	SHOOTING_ARMY | const_no_melee_penalty
Архимаг	Архимаги	0	0	0	0	0	0	450	467	680	4	0	30	7	12	9	7	9	24	0	10	16	Не имеет штрафа при рукопашной, снижает стоимость применения магии, бьёт через препятствия.	SHOOTING_ARMY | const_no_melee_penalty | const_no_wall_penalty
Джинн	Джинны	0	0	0	0	0	0	550	680	884	3	0	40	7	12	12	13	16	0	0	8	16	Ненавидит Ифритов	FLYING_ARMY
Мастер-Джинн	Мастер-Джинны	0	0	0	0	0	0	600	748	942	3	0	40	11	12	12	13	16	0	3	8	12	Колдует случайное заклятие. Ненавидит Ифритов.	FLYING_ARMY
Нага	Наги	0	0	0	0	0	0	1100	2016	2016	2	0	110	5	16	13	20	20	0	0	5	12	Враги не отвечают на атаку.	DOUBLE_WIDE
Королева Наг	Королевы Наг	0	0	0	0	0	0	1600	2485	2840	2	0	110	7	16	13	30	30	0	0	5	10	Враги не отвечают на атаку.	DOUBLE_WIDE
Гигант	Гиганты	0	0	0	0	0	1	2000	3146	3718	1	0	150	7	19	16	40	60	0	0	4	10	Иммунитет против магии воздействующей на разум.	KING_3
Титан	Титаны	0	0	0	0	0	2	5000	5000	7500	1	0	300	11	24	24	40	60	24	0	3	8	Не имеет штрафа при рукопашной, ненавидит Чёрных Драконов.	SHOOTING_ARMY | const_no_melee_penalty | KING_3
                  																								
																								
																								
Бес	Бесы	0	0	0	0	0	0	50	50	50	15	8	4	5	2	3	1	2	0	0	20	50		0
Чёрт	Черти	0	0	0	0	0	0	60	60	60	15	8	4	7	4	4	1	2	0	0	20	30	Создаёт магический канал.	0
Гог	Гоги	0	0	0	0	0	0	125	145	159	8	0	13	4	6	4	2	4	12	0	16	30		SHOOTING_ARMY
Магог	Магоги	0	0	0	0	0	0	175	210	240	8	0	13	6	7	4	2	4	24	0	16	25	Атака Огненным Шаром.	SHOOTING_ARMY
Адская Гончая	Адские Гончие	0	0	0	0	0	0	200	275	357	5	3	25	7	10	6	2	7	0	0	12	25		DOUBLE_WIDE | FLYING_ARMY
Цербер	Церберы	0	0	0	0	0	0	250	308	392	5	3	25	8	10	8	2	7	0	0	12	20	Атака тремя головами одновременно. Враги не отвечают на атаку.	DOUBLE_WIDE | FLYING_ARMY
Демон	Демоны	0	0	0	0	0	0	250	445	445	4	0	35	5	10	10	7	9	0	0	10	20		0
Рогатый Демон	Рогатые Демоны	0	0	0	0	0	0	270	480	480	4	0	40	6	10	10	7	9	0	0	10	16		0
Порождение Зла	Порождения Зла	0	0	0	0	0	0	500	765	765	3	0	45	6	13	13	13	17	0	0	8	16		0
Адское Отродье	Адские Отродья	0	0	0	0	0	0	700	1071	1224	3	0	45	7	13	13	13	17	0	1	8	12	Создаёт демонов из мёртвых союзников.	0
Ифрит	Ифриты	0	0	0	0	0	0	900	1413	1670	2	0	90	9	16	12	16	24	0	0	5	12	Иммунитет к огню. Ненавидит Джиннов	0
Султан Ифритов	Султаны Ифритов	0	0	0	0	0	0	1100	1584	1848	2	0	90	13	16	14	16	24	0	0	5	10	Имеет защиту огня. Иммунитет к огню. Ненавидит Джиннов.	0
Дьявол	Дьяволы	0	1	0	0	0	0	2700	3759	5101	1	0	160	11	19	21	30	40	0	0	4	10	(-1) к вражеской удаче. Враги не отвечают на атаку. Ненавидит ангелов.	FLYING_ARMY | KING_2
Архидьявол	Архидьяволы	0	2	0	0	0	0	4500	5243	7115	1	0	200	17	26	28	30	40	0	0	3	8	(-1) к вражеской удаче. Враги не отвечают на атаку. Ненавидит ангелов.	FLYING_ARMY | KING_2
																								
																								
																								
Скелет	Скелеты	0	0	0	0	0	0	60	75	60	12	6	6	4	5	4	1	3	0	0	20	50	Нечисть.	IS_UNDEAD
Скелет-Воин	Скелеты-Воины	0	0	0	0	0	0	70	85	85	12	6	6	5	6	6	1	3	0	0	20	30	Нечисть	IS_UNDEAD
Живой Мертвец	Живые Мертвецы	0	0	0	0	0	0	100	140	98	8	0	15	3	5	5	2	3	0	0	16	30	Нечисть	IS_UNDEAD
Зомби	Зомби	0	0	0	0	0	0	125	160	128	8	0	20	4	5	5	2	3	0	0	16	25	Нечисть.	IS_UNDEAD
Страж	Стражи	0	0	0	0	0	0	200	231	252	7	0	18	5	7	7	3	5	0	0	12	25	Нечисть, регенирирует.	FLYING_ARMY | IS_UNDEAD
Призрак	Призраки	0	0	0	0	0	0	230	252	315	7	0	18	7	7	7	3	5	0	0	12	20	Нечисть, регенирирует, отнимает магическую энергию.	FLYING_ARMY | IS_UNDEAD
Вампир	Вампиры	0	0	0	0	0	0	360	518	555	4	0	30	6	10	9	5	8	0	0	10	20	Нечисть, враг не отвечает на атаку.	FLYING_ARMY | IS_UNDEAD
Вампир Лорд	Вампиры Лорды	0	0	0	0	0	0	500	652	783	4	0	40	9	10	10	5	8	0	0	10	16	Нечисть, высасывает жизнь. Враг не отвечает на атаку.	FLYING_ARMY | IS_UNDEAD
Лич	Личи	0	0	0	0	0	0	550	742	848	3	0	30	6	13	10	11	13	12	0	8	16	Нечисть. Атакует облаком смерти.	SHOOTING_ARMY | IS_UNDEAD
Могущественный Лич	Могущественные Личи	0	0	0	0	0	0	600	889	1079	3	0	40	7	13	10	11	15	24	0	8	12	Нечисть. Атакует облаком смерти.	SHOOTING_ARMY | IS_UNDEAD
Чёрный Рыцарь	Чёрные Рыцари	0	0	0	0	0	0	1200	1753	2087	2	0	120	7	16	16	15	30	0	0	5	12	Нечисть. Проклинает врагов.	DOUBLE_WIDE | IS_UNDEAD
Рыцарь Смерти	Рыцари Смерти	0	0	0	0	0	0	1500	2029	2382	2	0	120	9	18	18	15	30	0	0	5	10	Нечисть. Проклинает врагов. Наносит удвоенное повреждение.	DOUBLE_WIDE | IS_UNDEAD
Костяной Дракон	Костяные Драконы	0	0	0	0	0	0	1800	2420	3388	1	0	150	9	17	15	25	50	0	0	4	10	Нечисть. (-1) к вражеской морали.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
Дракон-Привидение	Драконы Привидения	0	1	0	0	0	0	3000	3228	4696	1	0	200	14	19	17	25	50	0	0	3	8	Нечисть. (-1) к вражеской морали. Атакой старит врага.	DOUBLE_WIDE | IS_UNDEAD | const_lowers_morale | FLYING_ARMY | KING_1
																								
																								
																								
Троглодит	Троглодиты	0	0	0	0	0	0	50	73	59	14	7	5	4	4	3	1	3	0	0	20	50	Иммунитет к ослеплению.	0
Адский Троглодит	Адские Троглодиты	0	0	0	0	0	0	65	84	84	14	7	6	5	5	4	1	3	0	0	20	30	Иммунитет к ослеплению.	0
Гарпия	Гарпии	0	0	0	0	0	0	130	140	154	8	0	14	6	6	5	1	4	0	0	16	30	Атакует и возвращается.	FLYING_ARMY
Гарпия-Ведьма	Гарпии-Ведьмы	0	0	0	0	0	0	170	196	238	8	0	14	9	6	6	1	4	0	0	16	25	Атакует и возвращается, враги не отвечают на атаку.	FLYING_ARMY
Созерцатель	Созерцатели	0	0	0	0	0	0	250	240	336	7	0	22	5	9	7	3	5	12	0	12	25	Не имеет штрафа при рукопашной.	SHOOTING_ARMY | const_no_melee_penalty
Дурной Глаз	Дурные Глаза	0	0	0	0	0	0	280	245	367	7	0	22	7	10	8	3	5	24	0	12	20	Не имеет штрафа при рукопашной.	SHOOTING_ARMY | const_no_melee_penalty
Медуза	Медузы	0	0	0	0	0	0	300	379	517	4	0	25	5	9	9	6	8	4	0	10	20	Не имеет штрафа при рукопашной. Превращает взглядом в камень.	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Королева Медуза	Королевы Медуз	0	0	0	0	0	0	330	423	577	4	0	30	6	10	10	6	8	8	0	10	16	Не имеет штрафа при рукопашной. Превращает взглядом в камень.	DOUBLE_WIDE | SHOOTING_ARMY | const_no_melee_penalty
Минотавр	Минотавры	0	0	0	0	0	0	500	835	835	3	0	50	6	14	12	12	20	0	0	8	16	Хорошая мораль.	0
Король Минотавр	Короли Минотавров	0	0	0	0	0	0	575	890	1068	3	0	50	8	15	15	12	20	0	0	8	12	Хорошая мораль.	0
Мантикора	Мантикоры	0	0	0	0	0	0	850	1215	1547	2	0	80	7	15	13	14	20	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Скорпикора	Скорпикоры	0	0	0	0	0	0	1050	1248	1589	2	0	80	11	16	14	14	20	0	0	5	10	Парализует ядом.	DOUBLE_WIDE | FLYING_ARMY
Красный Дракон	Красные Драконы	0	0	0	1	0	0	2500	3762	4702	1	0	180	11	19	19	40	50	0	0	4	10	Иммунитет к магии 1-3 уровня.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Чёрный Дракон	Чёрные Драконы	0	0	0	2	0	0	4000	6783	8721	1	0	300	15	25	25	40	50	0	0	3	8	Иммунитет к магии.	DOUBLE_WIDE | FLYING_ARMY | KING_1
																								
																								
																								
Гоблин	Гоблины	0	0	0	0	0	0	40	60	60	15	8	5	5	4	2	1	2	0	0	20	50		0
Хобгоблин	Хобгоблины	0	0	0	0	0	0	50	65	78	15	8	5	7	5	3	1	2	0	0	20	30		0
Наездник на волках	Наездники на волках	0	0	0	0	0	0	100	130	130	9	0	10	6	7	5	2	4	0	0	16	30		DOUBLE_WIDE
Налётчик	Налётчики	0	0	0	0	0	0	140	174	203	9	0	10	8	8	5	3	4	0	0	16	25	Бьёт дважды.	DOUBLE_WIDE
Орк	Орки	0	0	0	0	0	0	150	175	192	7	0	15	4	8	4	2	5	12	0	12	25		SHOOTING_ARMY
Орк-Вождь	Орки-Вожди	0	0	0	0	0	0	165	200	240	7	0	20	5	8	4	2	5	24	0	12	20		SHOOTING_ARMY
Огр	Огры	0	0	0	0	0	0	300	520	416	4	0	40	4	13	7	6	12	0	0	10	20		0
Огр-Шаман	Огры-Шаманы	0	0	0	0	0	0	400	672	672	4	0	60	5	13	7	6	12	0	3	10	16	Колдует заклятие: Жажда крови.	0
Птица Рух	Птицы Рух	0	0	0	0	0	0	600	790	1027	3	0	60	7	13	11	11	15	0	0	8	16		FLYING_ARMY | DOUBLE_WIDE
Птица Грома	Птицы Грома	0	0	0	0	0	0	700	869	1106	3	0	60	11	13	11	11	15	0	0	8	12	Наносит удар молнией.	FLYING_ARMY | DOUBLE_WIDE
Циклоп	Циклопы	0	0	0	0	0	0	750	1055	1266	2	0	70	6	15	12	16	20	16	0	5	12	Может атаковать крепостные стены.	SHOOTING_ARMY | CATAPULT
Король Циклопов	Короли Циклопов	0	0	0	0	0	0	1100	1110	1443	2	0	70	8	17	13	16	20	24	0	5	10	Может атаковать крепостные стены.	SHOOTING_ARMY | CATAPULT
Чудище	Чудища	0	0	0	0	0	0	1500	3162	3162	1	0	160	6	17	17	30	50	0	0	4	10	Снижает защиту у врага на 40%.	DOUBLE_WIDE | KING_1
Древнее Чудище	Древние Чудища	0	0	0	0	1	0	3000	5397	6168	1	0	300	9	19	19	30	50	0	0	3	8	Снижает защиту у врага на 80%.	DOUBLE_WIDE | KING_1
																								
																								
																								
Гнолл	Гноллы	0	0	0	0	0	0	50	70	56	12	6	6	4	3	5	2	3	0	0	20	50		0
Гнолл-Мародёр	Гноллы-Мародёры	0	0	0	0	0	0	70	90	90	12	6	6	5	4	6	2	3	0	0	20	30		0
Ящер	Ящеры	0	0	0	0	0	0	110	115	126	9	0	14	4	5	6	2	3	12	0	16	30		SHOOTING_ARMY
Ящер-Воин	Ящеры-Воины	0	0	0	0	0	0	140	130	156	9	0	15	5	6	8	2	5	24	0	16	25		SHOOTING_ARMY
Горгона	Горгоны	0	0	0	0	0	0	525	890	890	3	0	70	5	10	14	12	16	0	0	12	25		DOUBLE_WIDE
Могучая Горгона	Могучие Горгоны	0	0	0	0	0	0	600	1028	1028	3	0	70	6	11	16	12	16	0	0	12	20	Смертельный взгляд.	DOUBLE_WIDE
Змей	Змии	0	0	0	0	0	0	220	215	268	8	0	20	9	7	9	2	5	0	0	10	20	Нейтрализует хорошие заклинания.	FLYING_ARMY
Стрекоза	Стрекозы	0	0	0	0	0	0	240	250	312	8	0	20	13	8	10	2	5	0	0	10	16	Нейтрализует хорошие заклинания.Ослабляют противника.	FLYING_ARMY
Василиск	Василиски	0	0	0	0	0	0	325	506	552	4	0	35	5	11	11	6	10	0	0	8	16	Приводящая в оцепенение атака.	DOUBLE_WIDE
Великий Василиск	Великие Василиски	0	0	0	0	0	0	400	561	714	4	0	40	7	12	12	6	10	0	0	8	12	Приводящая в оцепенение атака.	DOUBLE_WIDE
Виверн	Виверны	0	0	0	0	0	0	800	1050	1350	2	0	70	7	14	14	14	18	0	0	5	12		DOUBLE_WIDE | FLYING_ARMY
Виверн-Монарх	Виверн-Монархи	0	0	0	0	0	0	1100	1181	1518	2	0	70	11	14	14	18	22	0	0	5	10	Отравляет ядом.	DOUBLE_WIDE | FLYING_ARMY
Гидра	Гидры	0	0	0	0	0	0	2200	4120	4120	1	0	175	5	16	18	25	45	0	0	4	10	Атакует всех стоящих рядом врагов. Враги не отвечают на атаку.	DOUBLE_WIDE | KING_1
Гидра Хаоса	Гидры Хаоса	0	0	0	1	0	0	3500	5272	5931	1	0	250	7	18	20	25	45	0	0	3	8	Атакует всех стоящих рядом врагов. Враги не отвечают на атаку.	DOUBLE_WIDE | KING_1
																								
																								
																								
Элементаль Воздуха	Элементали Воздуха	0	0	0	0	0	0	250	324	356	6	0	25	7	9	9	2	8	0	0	8	12	Уязвим для Молний и Огненного шторма.	0
Элементаль Земли	Элементали Земли	0	0	0	0	0	0	400	415	330	4	0	40	4	10	10	4	8	0	0	16	30	Уязвим для Метеоритного дождя.	0
Элементаль Огня	Элементали Огня	0	0	0	0	0	0	350	345	345	5	0	35	6	10	8	4	6	0	0	16	25	Иммунитет к огню. Уязвим для льда.	0
Элементаль Воды	Элементали Воды	0	0	0	0	0	0	300	315	315	6	0	30	5	8	10	3	7	0	0	12	25	Иммунитет ко льду. Уязвим для огня.	0
Золотой Голем	Золотые Големы	0	0	0	0	0	0	500	600	600	3	0	50	5	11	12	8	10	0	0	10	16	Уменьшает повреждения от магических заклятий на 85%.	0
Алмазный Голем	Алмазные Големы	0	0	0	0	0	0	750	775	775	2	0	60	5	13	12	10	14	0	0	8	12	Уменьшает повреждения от магических заклятий на 95%.	0
																								
																								
																								
Маленькая Фея	Маленькие Феи	0	0	0	0	0	0	25	40	55	20	10	3	7	2	2	1	2	0	0	20	50		FLYING_ARMY
Фея	Феи	0	0	0	0	0	0	30	70	95	20	10	3	9	2	2	1	3	0	0	20	30	Враги не отвечают на атаку.	FLYING_ARMY | const_free_attack
Элементаль Разума	Элементали Разума	0	0	0	0	0	0	750	1431	1669	2	0	75	7	15	13	10	20	0	0	8	16	 Атакует всех стоящих рядом врагов, без ответа с их стороны.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
Элементаль Магии	Элементали Магии	0	0	0	0	0	0	800	1724	2012	2	0	80	9	15	13	15	25	0	0	8	12	Иммунитет к магии. Атакует всех стоящих рядом врагов.	IMMUNE_TO_MIND_SPELLS | DOUBLE_WIDE | const_free_attack | MULTI_HEADED
NOT USED (1)	NOT USED (1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Элементаль Льда	Элементали Льда	0	0	0	0	0	0	375	315	380	6	0	30	6	8	10	3	7	24	3	12	20	Иммунитет ко льду. Чувствителен к огню.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (2) 	NOT USED (2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Элементаль Магмы	Элементали Магмы	0	0	0	0	0	0	500	490	490	4	0	40	6	11	11	6	10	0	3	16	25	Иммунитет к магии действ. на мозг. Колдует защиту от земли.	IMMUNE_TO_MIND_SPELLS
NOT USED (3)	NOT USED (3)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Элементаль Шторма	Элементали Шторма	0	0	0	0	0	0	275	324	486	6	0	25	8	9	9	2	8	24	3	6	12	Не имеет штрафа при рукопашной. Уязвим для Молний и Огненного шторма.	IMMUNE_TO_MIND_SPELLS | SHOOTING_ARMY
NOT USED (4)	NOT USED (4)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
Элементаль Энергии	Элементали Энергии	0	0	0	0	0	0	400	360	470	5	0	35	8	12	8	4	6	0	3	12	25	Колдует магию защиты от огня. Иммунитет огню и заклятиям действ. на мозг. Уязвим к холоду.	IMMUNE_TO_MIND_SPELLS | IMMUNE_TO_FIRE_SPELLS | FLYING_ARMY
Огненная Птица	Огненные Птицы	0	0	0	0	0	0	1500	3248	4547	2	0	150	15	18	18	30	40	0	0	4	10	Огненное дыхание. Иммунитет к огню.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
Феникс	Фениксы	0	1	0	0	0	0	2000	4929	6721	2	0	200	21	21	18	30	40	0	1	4	10	Огненное дыхание. Иммунитет к огню.Возрождается.	IMMUNE_TO_FIRE_SPELLS | DOUBLE_WIDE | FLYING_ARMY | KING_1 | HAS_EXTENDED_ATTACK
																								
																								
																								
Лазурный Дракон	Лазурные Драконы	0	20	0	0	0	0	30000	56315	78845	1	0	1000	19	50	50	70	80	0	0	1	3	Страх.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Кристальный Дракон	Кристальные Драконы	0	0	0	0	10	0	20000	30260	39338	1	0	800	16	40	40	60	75	0	0	1	3	Производит кристаллы.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Сказочный Дракон	Сказочные Драконы	0	0	0	0	0	8	10000	16317	19580	1	0	500	15	20	20	20	30	0	5	1	3	Колдует наступательную магию.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Ржавый Дракон	Ржавые Драконы	0	0	0	14	0	0	15000	24030	26433	1	0	750	17	30	30	50	50	0	0	1	3	Плюёт кислотой.	DOUBLE_WIDE | FLYING_ARMY | KING_1
Чародей	Чародеи	0	0	0	0	0	0	750	805	1210	2	0	30	9	17	12	14	14	32	0	5	12	Не имеет штрафа при рукопашной. Колдует на весь отряд.	SHOOTING_ARMY | const_no_melee_penalty
Снайпер	Снайпера	0	0	0	0	0	0	400	415	585	4	0	15	9	12	10	8	10	32	0	5	12	Сила атаки не уменьшается из-за расстояния.	SHOOTING_ARMY
Хоббит	Хоббиты	0	0	0	0	0	0	40	60	75	15	0	4	5	4	2	1	3	24	0	20	50	Позитивно воздействует на удачу.	SHOOTING_ARMY
Крестьянин	Крестьяне	0	0	0	0	0	0	10	15	15	25	0	1	3	1	1	1	1	0	0	20	50		
Кабан	Кабаны	0	0	0	0	0	0	150	145	145	8	0	15	6	6	5	2	3	0	0	16	30		
Мумия	Мумии	0	0	0	0	0	0	300	270	270	7	0	30	5	7	7	3	5	0	0	12	25	Нечисть, проклинает.	
Кочевник	Кочевники	0	0	0	0	0	0	200	285	345	7	0	30	7	9	8	2	6	0	0	12	25	Передвигается по песку.	
Вор	Воры	0	0	0	0	0	0	100	135	135	8	0	10	6	8	3	2	4	0	0	16	30	Шпионит.	
Тролль	Тролли	0	0	0	0	0	0	500	1024	1024	3	0	40	7	14	7	10	15	0	0	8	12	Имеет способность к регенерации.	
																								
																								
																								
Катапульта	Катапульты	0	0	0	0	0	0	1	10	500	0	0	1000	0	10	10	0	0	24	0	0	0	Атакует крепостные стены.	DOUBLE_WIDE | SHOOTING_ARMY | CATAPULT | SIEGE_WEAPON
Баллиста	Баллисты	0	0	0	0	0	0	2500	650	600	0	0	250	0	10	10	2	3	24	0	0	0		DOUBLE_WIDE | SHOOTING_ARMY | SIEGE_WEAPON
Палатка Первой Помощи	Палатки Первой Помощи	0	0	0	0	0	0	750	10	300	0	0	75	0	0	0	0	0	0	0	0	0	Лечит солдат.	DOUBLE_WIDE | SIEGE_WEAPON
Тележка с Боеприпасами	Тележки с Боеприпасами	0	0	0	0	0	0	1000	5	400	0	0	100	0	0	5	0	0	0	0	0	0	Бесконечные боеприпасы.	SIEGE_WEAPON
Стрелковая Башня	Стрелковые Башни	0	0	0	0	0	0	1000	5	400	0	0	100	0	10	5	2	4	99	0	0	0	Бесконечные боеприпасы.	SIEGE_WEAPON
